Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2019,2019,°c,-0.607,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2020,2020,°c,-0.522,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2010,2010,°c,3.78,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2011,2011,°c,-0.37,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2012,2012,°c,-2.177,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2015,2015,°c,-0.519,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2019,2019,°c,-1.497,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,2010,2010,°c,2.597,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,2012,2012,°c,-1.11,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,2013,2013,°c,3.523,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,2018,2018,°c,3.715,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,2019,2019,°c,-0.302,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7004,April,2016,2016,°c,3.717,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7004,April,2017,2017,°c,-1.11,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7004,April,2018,2018,°c,3.105,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7005,May,2013,2013,°c,3.078,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7006,June,2015,2015,°c,-0.676,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7007,July,2011,2011,°c,2.558,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7008,August,2014,2014,°c,2.661,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7009,September,2014,2014,°c,2.675,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7010,October,2012,2012,°c,2.572,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7010,October,2015,2015,°c,3.093,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7010,October,2016,2016,°c,3.255,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7010,October,2017,2017,°c,-0.373,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7011,November,2012,2012,°c,2.529,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7012,December,2011,2011,°c,-0.401,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7012,December,2015,2015,°c,-0.334,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7016,Dec–Jan–Feb,2010,2010,°c,2.536,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7016,Dec–Jan–Feb,2012,2012,°c,-1.209,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7016,Dec–Jan–Feb,2017,2017,°c,-0.358,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7016,Dec–Jan–Feb,2019,2019,°c,-0.589,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7017,Mar–Apr–May,2013,2013,°c,2.766,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7017,Mar–Apr–May,2018,2018,°c,3.034,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7003,March,2016,2016,°c,2.939,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7004,April,2010,2010,°c,3.758,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7004,April,2012,2012,°c,-0.827,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7008,August,2010,2010,°c,-0.823,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7008,August,2012,2012,°c,2.538,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7010,October,2013,2013,°c,-0.51,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7010,October,2016,2016,°c,-1.029,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7010,October,2018,2018,°c,-0.302,E,Estimated value
ET,Temperature change on land,454,Malawi,7271,Temperature change,7011,November,2016,2016,°c,3.501,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7001,January,2012,2012,°c,-1.038,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7001,January,2015,2015,°c,-0.407,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7002,February,2010,2010,°c,3.889,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7002,February,2011,2011,°c,-0.553,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7002,February,2014,2014,°c,-0.341,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7003,March,2011,2011,°c,2.773,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7003,March,2013,2013,°c,2.845,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7003,March,2017,2017,°c,2.595,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7004,April,2010,2010,°c,2.95,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7012,December,2011,2011,°c,-0.569,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7012,December,2015,2015,°c,-0.57,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7012,December,2020,2020,°c,2.847,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7016,Dec–Jan–Feb,2010,2010,°c,2.596,E,Estimated value
ET,Temperature change on land,466,Mali,7271,Temperature change,7016,Dec–Jan–Feb,2012,2012,°c,-0.616,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7001,January,2016,2016,°c,3.443,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2010,2010,°c,3.306,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2011,2011,°c,-0.91,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2012,2012,°c,-1.308,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2014,2014,°c,-0.645,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2018,2018,°c,-0.368,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7002,February,2020,2020,°c,3.026,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7003,March,2010,2010,°c,3.126,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7003,March,2013,2013,°c,2.642,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7003,March,2017,2017,°c,2.623,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2010,2010,°c,3.574,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2011,2011,°c,2.529,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2014,2014,°c,2.582,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2015,2015,°c,3.167,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2016,2016,°c,2.788,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7004,April,2017,2017,°c,3.027,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7011,November,2012,2012,°c,2.568,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7012,December,2010,2010,°c,2.803,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7016,Dec–Jan–Feb,2010,2010,°c,2.964,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7016,Dec–Jan–Feb,2012,2012,°c,-0.292,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7017,Mar–Apr–May,2010,2010,°c,2.834,E,Estimated value
ET,Temperature change on land,478,Mauritania,7271,Temperature change,7017,Mar–Apr–May,2017,2017,°c,2.557,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7001,January,2016,2016,°c,3.073,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7001,January,2017,2017,°c,-0.761,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7002,February,2010,2010,°c,2.975,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7002,February,2012,2012,°c,-2.484,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7002,February,2015,2015,°c,-1.024,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7002,February,2018,2018,°c,-1.178,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7002,February,2020,2020,°c,2.996,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2010,2010,°c,3.799,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2011,2011,°c,3.296,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2013,2013,°c,2.515,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2014,2014,°c,3.286,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2015,2015,°c,2.651,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7004,April,2017,2017,°c,3.888,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2012,2012,°c,3.186,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2014,2014,°c,3.31,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2015,2015,°c,3.67,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2017,2017,°c,3.734,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2018,2018,°c,-0.442,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2019,2019,°c,3.4,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7005,May,2020,2020,°c,3.114,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7006,June,2011,2011,°c,3.262,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7006,June,2012,2012,°c,3.979,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7006,June,2016,2016,°c,2.535,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7006,June,2017,2017,°c,4.414,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7007,July,2010,2010,°c,2.517,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7007,July,2020,2020,°c,2.984,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7008,August,2012,2012,°c,2.611,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7009,September,2020,2020,°c,2.506,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7010,October,2013,2013,°c,2.942,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7010,October,2014,2014,°c,3.397,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7010,October,2016,2016,°c,2.533,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7010,October,2017,2017,°c,2.977,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7012,December,2010,2010,°c,3.541,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7012,December,2015,2015,°c,2.722,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7016,Dec–Jan–Feb,2010,2010,°c,2.781,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7016,Dec–Jan–Feb,2012,2012,°c,-0.587,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7017,Mar–Apr–May,2017,2017,°c,3.036,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7018,Jun–Jul–Aug,2012,2012,°c,2.97,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7018,Jun–Jul–Aug,2017,2017,°c,2.811,E,Estimated value
ET,Temperature change on land,504,Morocco,7271,Temperature change,7018,Jun–Jul–Aug,2020,2020,°c,2.517,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7001,January,2018,2018,°c,-0.36,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7003,March,2016,2016,°c,2.529,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7004,April,2012,2012,°c,-0.545,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7008,August,2010,2010,°c,-0.386,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7010,October,2013,2013,°c,-0.647,E,Estimated value
ET,Temperature change on land,508,Mozambique,7271,Temperature change,7010,October,2018,2018,°c,-0.333,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7001,January,2010,2010,°c,-0.583,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7001,January,2011,2011,°c,-1.634,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7001,January,2017,2017,°c,-0.45,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7002,February,2011,2011,°c,-0.949,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7002,February,2012,2012,°c,-1.673,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7002,February,2017,2017,°c,-0.668,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7003,March,2011,2011,°c,-1.485,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7003,March,2017,2017,°c,-0.577,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7003,March,2019,2019,°c,2.625,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7004,April,2011,2011,°c,-0.806,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7004,April,2014,2014,°c,-0.423,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7005,May,2019,2019,°c,3.704,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7006,June,2011,2011,°c,-0.33,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7006,June,2012,2012,°c,-0.63,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7007,July,2011,2011,°c,-0.934,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7007,July,2012,2012,°c,-1.078,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7007,July,2020,2020,°c,-0.436,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7008,August,2013,2013,°c,-0.655,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7008,August,2020,2020,°c,-0.8,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7009,September,2012,2012,°c,-0.97,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7009,September,2013,2013,°c,-0.387,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7010,October,2017,2017,°c,-0.597,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7011,November,2011,2011,°c,-0.679,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7011,November,2014,2014,°c,-1.52,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7011,November,2019,2019,°c,2.549,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7012,December,2012,2012,°c,-0.566,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7012,December,2014,2014,°c,-0.282,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7012,December,2019,2019,°c,-0.487,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7016,Dec–Jan–Feb,2011,2011,°c,-0.907,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7016,Dec–Jan–Feb,2012,2012,°c,-0.675,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7017,Mar–Apr–May,2011,2011,°c,-0.85,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7017,Mar–Apr–May,2019,2019,°c,2.81,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7018,Jun–Jul–Aug,2011,2011,°c,-0.359,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7018,Jun–Jul–Aug,2012,2012,°c,-0.602,E,Estimated value
ET,Temperature change on land,516,Namibia,7271,Temperature change,7020,Meteorological year,2011,2011,°c,-0.473,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7001,January,2012,2012,°c,-0.435,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7001,January,2015,2015,°c,-0.819,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7001,January,2018,2018,°c,-0.592,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7002,February,2010,2010,°c,3.568,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7002,February,2011,2011,°c,2.715,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7002,February,2019,2019,°c,-1.138,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7002,February,2020,2020,°c,-0.545,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7003,March,2011,2011,°c,2.881,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7003,March,2012,2012,°c,-0.783,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7003,March,2013,2013,°c,3.213,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7003,March,2016,2016,°c,2.991,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7004,April,2015,2015,°c,-1.509,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7004,April,2016,2016,°c,2.596,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7004,April,2020,2020,°c,2.939,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7011,November,2019,2019,°c,3.356,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7012,December,2011,2011,°c,-0.97,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7012,December,2015,2015,°c,-2.478,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7012,December,2018,2018,°c,-0.791,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7012,December,2020,2020,°c,2.588,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7016,Dec–Jan–Feb,2016,2016,°c,-0.86,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7016,Dec–Jan–Feb,2019,2019,°c,-0.727,E,Estimated value
ET,Temperature change on land,562,Niger,7271,Temperature change,7017,Mar–Apr–May,2016,2016,°c,2.571,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7002,February,2010,2010,°c,3.287,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7003,March,2016,2016,°c,2.741,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7004,April,2010,2010,°c,2.567,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7012,December,2011,2011,°c,-0.275,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7012,December,2015,2015,°c,-0.943,E,Estimated value
ET,Temperature change on land,566,Nigeria,7271,Temperature change,7012,December,2020,2020,°c,2.577,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7001,January,2016,2016,°c,2.854,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7002,February,2010,2010,°c,2.566,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7002,February,2018,2018,°c,-0.497,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7002,February,2020,2020,°c,3.304,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7003,March,2010,2010,°c,2.721,E,Estimated value
ET,Temperature change on land,686,Senegal,7271,Temperature change,7012,December,2020,2020,°c,2.778,E,Estimated value
ET,Temperature change on land,694,Sierra Leone,7271,Temperature change,7002,February,2016,2016,°c,-0.305,E,Estimated value
ET,Temperature change on land,694,Sierra Leone,7271,Temperature change,7012,December,2015,2015,°c,-0.685,E,Estimated value
ET,Temperature change on land,694,Sierra Leone,7271,Temperature change,7016,Dec–Jan–Feb,2016,2016,°c,-0.365,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7003,March,2011,2011,°c,-0.364,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7003,March,2016,2016,°c,3.376,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7004,April,2019,2019,°c,3.07,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7004,April,2020,2020,°c,2.541,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7005,May,2018,2018,°c,-0.349,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7005,May,2019,2019,°c,3.281,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7008,August,2015,2015,°c,2.743,E,Estimated value
ET,Temperature change on land,706,Somalia,7271,Temperature change,7012,December,2011,2011,°c,-0.318,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7005,May,2019,2019,°c,2.94,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7007,July,2011,2011,°c,-0.598,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7009,September,2012,2012,°c,-0.355,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7010,October,2015,2015,°c,3.151,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7011,November,2011,2011,°c,-0.273,E,Estimated value
ET,Temperature change on land,710,South Africa,7271,Temperature change,7012,December,2015,2015,°c,2.979,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7001,January,2020,2020,°c,-0.889,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7002,February,2011,2011,°c,2.652,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7002,February,2018,2018,°c,2.833,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7003,March,2016,2016,°c,2.931,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7004,April,2017,2017,°c,2.535,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7012,December,2014,2014,°c,-0.97,E,Estimated value
ET,Temperature change on land,728,South Sudan,7271,Temperature change,7012,December,2015,2015,°c,-0.574,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2011,2011,°c,-0.304,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2012,2012,°c,-0.472,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2016,2016,°c,-1.129,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2017,2017,°c,2.767,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2018,2018,°c,-0.779,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7001,January,2020,2020,°c,-1.365,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7002,February,2013,2013,°c,2.531,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7002,February,2015,2015,°c,2.63,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7002,February,2017,2017,°c,-0.468,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7002,February,2018,2018,°c,3.755,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7002,February,2020,2020,°c,-0.713,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7003,March,2016,2016,°c,3.774,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7011,November,2011,2011,°c,-0.948,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7012,December,2015,2015,°c,-1.367,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7012,December,2017,2017,°c,2.653,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7016,Dec–Jan–Feb,2016,2016,°c,-0.569,E,Estimated value
ET,Temperature change on land,729,Sudan,7271,Temperature change,7016,Dec–Jan–Feb,2020,2020,°c,-0.467,E,Estimated value
ET,Temperature change on land,736,Sudan (former),7271,Temperature change,7001,January,2010,2010,°c,2.544,E,Estimated value
ET,Temperature change on land,736,Sudan (former),7271,Temperature change,7002,February,2010,2010,°c,2.692,E,Estimated value
ET,Temperature change on land,736,Sudan (former),7271,Temperature change,7004,April,2010,2010,°c,2.912,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7001,January,2017,2017,°c,-1.244,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7001,January,2019,2019,°c,-0.429,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2010,2010,°c,3.068,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2011,2011,°c,-0.427,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2012,2012,°c,-2.57,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2013,2013,°c,-0.397,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2015,2015,°c,-1.106,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7002,February,2019,2019,°c,-0.401,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7003,March,2010,2010,°c,2.605,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7003,March,2013,2013,°c,3.101,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7003,March,2018,2018,°c,2.867,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7004,April,2013,2013,°c,2.695,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7004,April,2016,2016,°c,3.538,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7004,April,2018,2018,°c,2.753,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7004,April,2020,2020,°c,2.532,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7005,May,2015,2015,°c,2.982,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7005,May,2017,2017,°c,2.754,E,Estimated value
ET,Temperature change on land,788,Tunisia,7271,Temperature change,7005,May,2020,2020,°c,3.748,E,Estimated value
